t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.25,1195938,nan,nan,nan,nan,nan,nan,0,0,0,76.48,0.00,0,0.00,0,0,0,nan,0,0.00,1195938,0.00,3
1,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.27,1197481,nan,nan,nan,nan,nan,nan,0,0,0,76.45,0.00,0,0.00,0,0,0,nan,0,0.00,1552,0.00,32780
2,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.30,1199613,nan,nan,nan,nan,nan,nan,0,0,0,76.40,0.00,0,0.00,0,0,0,nan,0,0.00,2133,0.00,34165
3,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.34,1201682,nan,nan,nan,nan,nan,nan,0,0,0,76.36,0.00,0,0.00,0,0,0,nan,0,0.00,2070,0.00,33751
4,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.37,1203783,nan,nan,nan,nan,nan,nan,0,0,0,76.32,0.00,0,0.00,0,0,0,nan,0,0.00,2103,0.00,33739
5,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.40,1205867,nan,nan,nan,nan,nan,nan,0,0,0,76.28,0.00,0,0.00,0,0,0,nan,0,0.00,2089,0.00,33649
6,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.43,1207989,nan,nan,nan,nan,nan,nan,0,0,0,76.24,0.00,0,0.00,0,0,0,nan,0,0.00,2130,0.00,33687
7,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.46,1210082,nan,nan,nan,nan,nan,nan,0,0,0,76.20,0.00,0,0.00,0,0,0,nan,0,0.00,2099,0.00,33764
8,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.50,1212283,nan,nan,nan,nan,nan,nan,0,0,0,76.15,0.00,0,0.00,0,0,0,nan,0,0.00,2205,0.00,33391
9,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,4060952843860606973,18.54,1214825,nan,nan,nan,nan,nan,nan,0,0,0,76.10,0.00,0,0.00,0,0,0,nan,0,0.00,2544,0.00,33494
0,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.25,1196097,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196097,0.00,0
1,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.27,1197642,nan,nan,nan,nan,nan,nan,0,0,0,76.44,0.00,0,0.00,0,0,0,nan,0,0.00,1560,0.00,32638
2,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.31,1199737,nan,nan,nan,nan,nan,nan,0,0,0,76.40,0.00,0,0.00,0,0,0,nan,0,0.00,2096,0.00,34004
3,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.34,1201808,nan,nan,nan,nan,nan,nan,0,0,0,76.36,0.00,0,0.00,0,0,0,nan,0,0.00,2073,0.00,33646
4,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.37,1203887,nan,nan,nan,nan,nan,nan,0,0,0,76.32,0.00,0,0.00,0,0,0,nan,0,0.00,2084,0.00,33510
5,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.40,1205951,nan,nan,nan,nan,nan,nan,0,0,0,76.28,0.00,0,0.00,0,0,0,nan,0,0.00,2065,0.00,33582
6,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.43,1208051,nan,nan,nan,nan,nan,nan,0,0,0,76.24,0.00,0,0.00,0,0,0,nan,0,0.00,2107,0.00,33554
7,100,0,arm-ubuntu18,1,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10143592741971188246,18.47,1210163,nan,nan,nan,nan,nan,nan,0,0,0,76.20,0.00,0,0.00,0,0,0,nan,0,0.00,2113,0.00,33587
