t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,18.2648,1197004,100,0,0,0,0,0,0,0,0,92.1518,0,0,0,44474100,0,0,2.65794,0,0,0,1197004,0,17,38653.1,38059.1,1968.94,462.412,88068.6,0.984631,2.65794,0.438898,0,0,0,0,0,0,0,0,0,0,4,history,0,0,1399,0,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,10,stock,0,114,0,265,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5076,5885,6,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,45,4,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,6,order,0,35,48,81,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,331,206,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,1,district,0,25842,0,19105,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,7748018,0,2532959,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,2,customer,0,8,0,4,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,19.5851,1283527,100,0,0,0,0,0,0,0,0,91.5847,0,0,0,24229436,0,0,119.394,0,0,0,87485,0,1326031,209744,75090.9,969.985,395.001,90483.6,0.358013,119.394,2.31803,0,0,0,0,0,0,0,0,0,0,4,history,0,0,314,0,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,21.0305,1378256,100,0,0,0,0,0,0,0,0,90.9636,0,0,0,24374144,0,0,119.895,0,0,0,96557,0,1427271,255942,77332.2,983.391,394.945,84372.1,0.302147,119.895,3.03349,0,0,0,0,0,0,0,0,0,0,10,stock,0,146,0,245,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,300,0,0,0,0,0,1,100,100,0,21.0305,1378256,100,0,0,0,0,0,0,0,0,90.9636,0,0,0,24374144,0,0,119.895,0,0,0,96557,0,1427271,255942,77332.2,983.391,394.945,84372.1,0.302147,119.895,3.03349,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
