t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,182.686,11972532,100,0,0,0,25.0118,0.527807,1060929,0,0,14.3658,6.04091,5,0,186773672,846927,844653,2.37773,0,0,0,11972532,0,10,41706.9,39137.4,2571.4,489.1,128397,0.938391,2.37773,0.324828,0,0,0,0,0,0,0,0,0,0,4,history,0,0,1332,0,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,10,stock,0,12,0,762,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,325,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,8,orderline,0,414,1513,462,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,136,13,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,6,order,0,4,86,60,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,121,205,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,1,district,0,3441,0,9225,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,70659,0,0,0,0,0,warehouse,0,12467,0,42485,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,2,customer,0,3,0,129,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,69,0,0,0,0,0,0
1,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,184.909,12118213,100,0,0,0,25.736,10.8891,884201,0,0,13.324,6.95504,6,0,5141995,705700,703769,116.66,0,0,0,145864,0,2408757,94964.2,80793,1005.81,393.466,48703.5,0.850774,116.66,1.94984,0,0,0,0,0,0,0,0,0,0,4,history,0,0,851,0,0,0,0,0,0,0
2,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,187.691,12300536,100,0,0,0,26.9751,10.188,760480,0,0,12.0199,8.24868,7,0,5940396,606227,604591,119.451,0,0,0,182432,0,2756053,104617,80737.6,976.499,387.992,43560.3,0.771747,119.451,2.40165,0,0,0,0,0,0,0,0,0,0,10,stock,0,19,0,602,0,0,0,0,0,0
2,120,0,1,1,20,4,6,220,0,0,10,0,0,0,0,0,1,100,512,1,1000,0,187.691,12300536,100,0,0,0,26.9751,10.188,760480,0,0,12.0199,8.24868,7,0,5940396,606227,604591,119.451,0,0,0,182432,0,2756053,104617,80737.6,976.499,387.992,43560.3,0.771747,119.451,2.40165,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,188,0,0,0,0,0,0
